Feature,Accuracy,Time
G perc,0.20275522303783175,3.1853652622388755
C perc,0.21000374866679214,3.16457390266916
A perc,0.27213332862789386,2.940429360970207
T perc,0.25484568511198946,2.981520575025807
GC perc,0.23121182320095365,2.9996873865956846
Alanine perc,0.24910752713470105,2.900817352792491
Arginine perc,0.28498451126168517,2.690422985864722
Asparagine perc,0.2655483170211431,2.8909133258073227
Aspartic Acid perc,0.2771527464081812,2.84022769720658
Cysteine perc,0.26695408275299576,2.863131010014078
Glutamine perc,0.3482720057720058,2.676989918169768
Glutamic Acid perc,0.31459733201581025,2.719469702762106
Glycine perc,0.2560495012234143,2.8709232910819678
Histidine perc,0.35507647907647905,2.8108369215675024
Isoleucine perc,0.25424854915615785,2.924579874328945
Leucine perc,0.226658722316331,2.9258333703745967
Lysine perc,0.25472224574941965,2.792196776555932
Methionine perc,0.2283969273480143,3.0430823668189673
Phenylalanine perc,0.33526384967689316,2.769135319668314
Proline perc,0.34882348328000495,2.7234551543774814
Serine perc,0.2826967501097936,2.7958381642466006
Threonine perc,0.319483060417843,2.6692337886146875
Tryptophan perc,0.2887086783988958,2.8168756391691123
Tyrosine perc,0.23322215948302905,2.9453435928925225
Valine perc,0.28020031840140536,2.7398907516313638
