Feature,Accuracy,Time
Histidine perc,0.2787878787878788,3.6704165935516357
Proline perc,0.31606060606060604,3.3605635166168213
Glutamine perc,0.3687878787878788,3.2793920040130615
Phenylalanine perc,0.35545454545454547,3.4690117835998535
Threonine perc,0.29878787878787877,3.2309212684631348
Glutamic Acid perc,0.20212121212121212,3.305178642272949
Tryptophan perc,0.3181818181818182,3.5066442489624023
Arginine perc,0.29454545454545455,3.4251279830932617
Serine perc,0.30454545454545456,3.4843697547912598
Valine perc,0.28545454545454546,3.409454107284546
Aspartic Acid perc,0.28424242424242424,3.4892406463623047
A perc,0.2887878787878788,3.642599105834961
Cysteine perc,0.283030303030303,3.5675430297851562
Asparagine perc,0.2781818181818182,3.6095974445343018
Glycine perc,0.22151515151515153,3.613621950149536
T perc,0.23393939393939395,3.8492319583892822
Lysine perc,0.28515151515151516,3.539588689804077
Isoleucine perc,0.2972727272727273,3.6497230529785156
Alanine perc,0.21333333333333335,3.5962445735931396
Tyrosine perc,0.26181818181818184,3.705317258834839
GC perc,0.2312121212121212,3.8039047718048096
Methionine perc,0.2696969696969697,4.158069849014282
Leucine perc,0.22121212121212122,3.821713924407959
C perc,0.21575757575757576,4.15018630027771
G perc,0.15666666666666668,3.974033832550049
