Feature,Accuracy,Time
G perc,0.20555555555555555,1.222883939743042
C perc,0.21191919191919192,1.2227673530578613
A perc,0.24383838383838383,1.107712745666504
T perc,0.2502020202020202,1.0637412071228027
GC perc,0.2203030303030303,1.0661792755126953
Alanine perc,0.18303030303030304,1.1178886890411377
Arginine perc,0.2815151515151515,1.0688395500183105
Asparagine perc,0.18333333333333332,1.1026499271392822
Aspartic Acid perc,0.27666666666666667,1.1565020084381104
Cysteine perc,0.20717171717171717,1.1192574501037598
Glutamine perc,0.28363636363636363,1.0424761772155762
Glutamic Acid perc,0.2405050505050505,1.0187911987304688
Glycine perc,0.21717171717171718,1.092799186706543
Histidine perc,0.31232323232323234,1.0996813774108887
Isoleucine perc,0.23696969696969697,1.06484055519104
Leucine perc,0.19767676767676767,1.079744577407837
Lysine perc,0.25171717171717173,1.0664222240447998
Methionine perc,0.1622222222222222,1.0824220180511475
Phenylalanine perc,0.29545454545454547,1.0782732963562012
Proline perc,0.34414141414141414,1.0826416015625
Serine perc,0.26646464646464646,1.1301333904266357
Threonine perc,0.29292929292929293,1.0563852787017822
Tryptophan perc,0.25292929292929295,1.0844316482543945
Tyrosine perc,0.22454545454545455,1.0593993663787842
Valine perc,0.273030303030303,1.0165631771087646
