id,AAA_perc,AAG_perc,AAT_perc,ACCIII_cuts,ACC_perc,ACG_perc,AFLIII_cuts,AGA_perc,AGEI_cuts,AGG_perc,AHDI_cuts,AJUI_cuts,ALEI_cuts,ARSI_cuts,ASIGI_cuts,ATA_perc,ATC_perc,AT_perc,BCGI_cuts,BMERI_cuts,BMSI_cuts,BPII_cuts,BPMI_cuts,BPU10I_cuts,BPUEI_cuts,BPUMI_cuts,BSAWI_cuts,BSAXI_cuts,BSEAI_cuts,BSEMI_cuts,BSERI_cuts,BSGI_cuts,BSHTI_cuts,BSISI_cuts,BSO31I_cuts,BSPTI_cuts,BSPTNI_cuts,BST1107I_cuts,BTSI_cuts,CAT_perc,CCC_perc,CCG_perc,CCT_perc,CGA_perc,CGG_perc,CGT_perc,CG_perc,CSPAI_cuts,ECO57I_cuts,FALI_cuts,FAUNDI_cuts,GAG_perc,GCC_perc,GCG_perc,GGA_perc,GGG_perc,GG_perc,GTC_perc,HINFI_cuts,HPY99I_cuts,KPN2I_cuts,MMEI_cuts,NCII_cuts,NDEI_cuts,NMEAIII_cuts,NSPI_cuts,OLII_cuts,PFEI_cuts,SEXAI_cuts,STUI_cuts,Sequence Length,TCC_perc,TCG_perc,TGG_perc,TTA_perc,XCEI_cuts,Variant
OQ903636.1,2.982906560367543,1.942436321870144,2.5606377947435983,2,1.2532936963718666,0.5438821701236403,33,2.0167556246199583,1,1.0911424903722722,3,2,7,16,0,1.591108708871022,1.1316802918721707,7.7458365706178425,0,3,52,11,9,6,12,5,3,20,1,16,7,16,1,10,3,10,2,8,9,1.631646510370921,0.38173096412404567,0.2533612593743666,1.145192892372137,0.3074116613742315,0.2533612593743666,0.5742855212485642,1.4593115562611898,1,27,38,9,0.9762853861225593,0.621579622998446,0.29389906087426526,0.9425038848726438,0.45942841699885145,3.6753031787318853,0.8985879332477535,73,6,1,18,5,9,3,35,7,40,6,1,29604,0.6992770758732518,0.36821836362407945,1.8681170191203296,2.9389906087426523,35,UNKNOWN_KEY_FORMAT
OV101583.1,2.9986263276041143,1.9398934566288069,2.5597212450162496,2,1.2430059972526553,0.5461185378765036,34,2.016953127617516,1,1.095587496230777,3,2,5,18,0,1.5813984655074214,1.1324421214862466,7.749262932189762,0,3,50,11,9,6,12,5,3,18,1,16,6,16,1,10,2,10,2,7,9,1.6249539317184307,0.3886487754213154,0.251281535832747,1.1357925419640165,0.3115891044326063,0.24793111535497706,0.5695714812208932,1.454033771106942,1,27,38,9,0.9850236204643682,0.6298790498207525,0.2847857406104466,0.9481689952088987,0.4456059235434047,3.655186277137497,0.9113143699534292,74,7,1,18,5,9,3,36,5,40,6,2,29890,0.6868361979428419,0.37189667303246554,1.8661842061178677,2.9550708613931045,36,UNKNOWN_KEY_FORMAT
PP301276.1,3.000506842372022,1.9428957594188205,2.5544855549923975,2,1.2434532860280452,0.5440108126372698,34,2.0172326406487584,1,1.0880216252745396,2,2,6,16,0,1.58810609900321,1.1387058624767699,7.751047438843087,0,2,50,12,9,5,11,5,3,18,1,16,6,16,1,10,2,10,2,7,10,1.6387903362054403,0.37844230444331817,0.24666328771751986,1.1387058624767699,0.307484372360196,0.2568001351579659,0.5744213549586079,1.4630355453439654,1,27,36,9,0.9765163034296334,0.6183476938672072,0.2939685757729346,0.9292110153742187,0.44940023652644023,3.6592782808487634,0.8988004730528805,74,6,1,18,5,9,2,36,6,41,6,1,29597,0.6893056259503294,0.37844230444331817,1.865179929042068,2.9498226051697922,36,UNKNOWN_KEY_FORMAT
OU301596.1,2.996128597879145,1.9458003703080289,2.565224709644841,2,1.2422151153004544,0.545362733546541,33,2.02322841272513,1,1.0873590304662515,3,2,7,16,0,1.588958087863996,1.1412220164955396,7.756008887093517,0,3,52,11,9,6,12,5,3,20,1,16,7,16,1,10,3,10,2,8,9,1.6259888907591316,0.38040733883184646,0.249116310385457,1.14458845312237,0.309712169668406,0.25584918363911796,0.572294226561185,1.4609843129334141,1,27,38,9,0.9863659316613365,0.6295236492173035,0.29287998653425346,0.9459686921393704,0.46120181787577846,3.6760250454453645,0.8988385793637435,74,6,1,18,5,9,4,35,7,40,6,1,29828,0.700218818380744,0.37367446557818546,1.8717387645177581,2.935532738596196,35,UNKNOWN_KEY_FORMAT
MZ169914.1,3.0935420220059533,1.9363900872880508,2.5484097521822013,2,1.2541386575699809,0.5518210093307916,34,2.026688070633089,1,1.0969532791545433,3,2,6,16,0,1.575198153907896,1.1303969766897428,7.718547254364257,0,3,50,12,9,6,12,5,3,20,1,16,7,16,1,10,2,10,3,7,9,1.6186749607036552,0.38794689140831407,0.24748336176047625,1.1471188254573426,0.3177151265843952,0.2508277315139962,0.5685428580983914,1.4647849642164403,1,26,34,9,0.9999665563024648,0.6253971439082305,0.29430453830975556,0.9330791612320657,0.44145680746463334,3.6418968630860813,0.8962910939433464,74,6,1,18,5,9,3,36,6,41,6,1,29903,0.6989732784856694,0.3712250426407143,1.852780843450052,2.943045383097555,36,UNKNOWN_KEY_FORMAT
MZ642131.1,2.989586832381592,1.9415518978837758,2.54954652334565,2,1.2462210278804164,0.5542492442055761,34,2.022169969768223,1,1.0950621430970775,3,2,6,18,0,1.5854887470607995,1.1420893516963386,7.742433912196432,0,3,50,12,8,6,12,5,3,20,1,16,7,15,1,10,2,10,2,7,9,1.635875041988579,0.37621766879408797,0.2485723883103796,1.148807524353376,0.31575411488075245,0.25529056096741687,0.574403762176688,1.4712303919922072,1,27,38,9,0.9909304669129997,0.6281491434329862,0.2955995969096406,0.9439032583137388,0.4534766543500168,3.664640085989722,0.8968760497144777,72,6,1,18,5,9,4,35,6,39,6,1,29772,0.6986899563318777,0.37285858246556935,1.8609338259993284,2.9324823647967753,35,UNKNOWN_KEY_FORMAT
OX014375.1,2.9904909109236923,1.9454991431739523,2.5435973253586908,2,1.2499579987231613,0.5510567521252646,33,2.0227814925573737,1,1.0920331978092133,3,2,6,16,0,1.5725278048452676,1.149154934310003,7.741415227471273,2,3,51,12,9,6,13,4,3,18,1,15,6,16,1,9,2,10,2,7,9,1.629649541346057,0.3729713383286852,0.24192735459157957,1.149154934310003,0.3124894996807903,0.2520076610328954,0.5712173650078962,1.4615953228949667,1,27,38,9,0.9945902355431605,0.6283391015086859,0.29568898894526396,0.937468499042371,0.4468935855650012,3.6523083126133997,0.8937871711300024,73,6,1,18,4,9,3,35,6,40,7,1,29884,0.6955411444507913,0.3729713383286852,1.861496589496321,2.9501696851584285,35,UNKNOWN_KEY_FORMAT
MZ036441.1,2.9905031319458475,1.9364181316090794,2.545968882602546,2,1.2494106553512494,0.5523001279719808,34,2.0172425405805887,1,1.094497204822523,3,2,6,16,0,1.5828113423587258,1.1315417256011315,7.731941404276814,0,3,50,12,9,7,12,5,3,20,1,16,7,15,1,10,2,9,3,7,9,1.629958914258773,0.3771805752003772,0.24920859432882064,1.138277093015424,0.3165622684717451,0.25594396174311307,0.569138546507712,1.4682606499410675,1,26,38,9,0.9833636424866976,0.6230214858220516,0.29298848252172155,0.9362160705866506,0.4546373004647403,3.663916484256609,0.9025392335151882,73,6,1,18,5,9,4,36,6,40,6,1,29696,0.6937428436721224,0.37381289149323094,1.8589614063447162,2.9467232437529467,36,UNKNOWN_KEY_FORMAT
OL345260.1,3.0004358174930434,1.937711622917295,2.554560997686815,2,1.2504609608099502,0.5498005296858762,34,2.011465352509303,1,1.0996010593717525,2,2,6,16,0,1.5857051862281675,1.149887693184485,7.743881997988603,0,2,50,12,9,6,12,5,3,18,1,16,6,16,1,10,2,10,2,7,10,1.6326393777867174,0.3821784169767676,0.24472828455529855,1.1398303664219385,0.3218344564014885,0.25813805357202724,0.5699151832109692,1.4750251424740195,1,27,38,9,0.9856180227295585,0.6235542592778839,0.2950149183680311,0.9353313889168259,0.449227262060411,3.660744217230975,0.898454524120822,74,6,1,18,5,9,3,36,6,41,6,1,29831,0.6906031043615274,0.38553085923094976,1.8539005665627408,2.946796741426129,36,UNKNOWN_KEY_FORMAT
OW683551.1,3.005951380249487,1.9501697992670053,2.5520325476614776,2,1.2407114757405602,0.5547896842742343,31,2.0241417571702365,1,1.0961299216569718,3,2,6,16,0,1.600484180088094,1.14320298577721,7.7492015464784,0,3,49,12,9,6,12,5,3,18,1,15,6,15,1,10,2,10,2,7,8,1.6172959887024645,0.366497427793282,0.2454524057698127,1.1364782623314615,0.3261490871187922,0.25553949093843514,0.5749638546114791,1.479240208438393,1,27,38,8,0.9952590699707475,0.6287616421774654,0.30261255505867324,0.938098920681887,0.4438317474193874,3.647671877626492,0.9078376651760197,72,6,1,18,5,8,3,33,6,39,6,2,29873,0.6892841531892001,0.3765845129619044,1.8526613093036548,2.9387041457920042,33,UNKNOWN_KEY_FORMAT
OY614922.1,2.9942534529690494,1.9457606613569915,2.5506603488254864,2,1.2501260207682225,0.5544913801794535,33,2.023053399200188,1,1.09217999126256,3,2,6,16,0,1.5794602950566252,1.1425882985516012,7.742195638294297,2,3,51,12,9,6,13,4,3,18,1,15,6,16,1,9,2,10,2,7,9,1.6298686023456668,0.37638202775817453,0.2419598749873979,1.14930940619014,0.31589205901132505,0.25204153644520616,0.5712941492758006,1.4651029940522193,1,27,38,9,0.994723930503747,0.6284235642033807,0.29572873609570854,0.9375945155761669,0.44695365796283226,3.65267650122652,0.8939073159256645,73,6,1,18,4,9,3,35,6,40,7,1,29884,0.6922740867694996,0.3730214739389051,1.8617468158752561,2.950566253318547,35,UNKNOWN_KEY_FORMAT
OU125231.1,3.0936482904405596,1.9394020736167499,2.5534342180317418,2,1.2481964902862128,0.5435694393181895,33,2.019930879441667,1,1.0904942455457505,3,2,7,16,0,1.5770224474046235,1.137469382276952,7.726113794954374,0,3,52,11,9,6,12,5,3,20,1,16,7,16,1,10,2,10,2,8,9,1.6273529510451967,0.3892225614870986,0.24829715129349395,1.1408247491863235,0.3120491225715532,0.2516525182028655,0.5704123745931617,1.4559849704777241,1,27,38,9,0.9864778713552328,0.6240982451431064,0.29191692111532397,0.9462134684427742,0.4563298996745294,3.666800858829845,0.8958829648022011,74,6,1,18,5,9,4,35,7,40,6,1,29818,0.6979163171492803,0.3724457269402409,1.8655840016105762,2.932590678790726,35,UNKNOWN_KEY_FORMAT
OM091561.1,3.0056755213755584,1.9444537730463107,2.5556637673372067,2,1.2392114719414313,0.5574772475400477,31,2.014978003156799,1,1.1048796050643115,3,2,6,16,0,1.6019075125096551,1.1451791651274472,7.7501678979180655,0,3,49,12,9,6,12,5,3,18,1,15,6,16,1,10,2,10,2,7,8,1.618698995869295,0.3660543372401518,0.24515565705074388,1.1351042751116633,0.32911307384894384,0.25858884373845586,0.5742687308996877,1.4842175957018133,1,27,38,8,0.9906975182187595,0.6212848843066797,0.3022467004735198,0.9369647714679115,0.4432951606944958,3.653458697112156,0.9033818047486314,72,6,1,18,5,8,3,33,6,40,6,3,29795,0.6918091144171676,0.3794875239278638,1.847063169560399,2.9418678846089263,33,UNKNOWN_KEY_FORMAT
OK436285.1,2.9808660624370593,1.9436052366565961,2.5545485062101374,2,1.2453843571668346,0.5438066465256798,34,2.020812353138637,2,1.0909701242027525,3,2,6,16,0,1.5877811346089292,1.137965760322256,7.74394951495418,0,3,50,12,9,6,12,5,4,20,1,16,7,16,2,11,2,10,2,7,9,1.62134944612286,0.3793219201074186,0.25176233635448136,1.1346089291708628,0.3121852970795569,0.25511916750587443,0.5706612957368244,1.4668859722735053,2,28,38,10,0.9902651896609601,0.6243705941591138,0.29875797247398456,0.9331990600872777,0.4531722054380665,3.655466416031687,0.9029875797247398,73,6,1,17,5,10,4,35,6,40,6,1,29792,0.6948640483383686,0.3726082578046324,1.8563276267203759,2.947297750923129,35,UNKNOWN_KEY_FORMAT
OE996457.2,2.994594957531809,1.940443817772854,2.5447342800550574,2,1.255581293853023,0.5539329237586866,33,2.024373048645382,1,1.0877228321079666,3,2,6,14,0,1.5745123711686306,1.148151878336187,7.73801530817779,2,3,51,12,9,6,13,4,3,18,1,15,6,16,1,9,2,9,2,7,9,1.6282270789270488,0.3760029543089267,0.24171618491288147,1.148151878336187,0.31893107731560744,0.2517876926175848,0.5707187699331923,1.4670337048475894,1,27,38,9,0.9937220935307349,0.6277906469265115,0.29543089267129957,0.9366502165374155,0.4498606774767516,3.6491204511883977,0.8930070164837008,73,6,1,18,4,9,3,35,6,40,7,1,29885,0.691576862389633,0.3760029543089267,1.8598717561352267,2.9442374190082923,35,UNKNOWN_KEY_FORMAT
OK547302.1,2.9835112853088255,1.9495877821327205,2.554399243140965,2,1.250168941748885,0.5406135964319503,34,2.0171644816867147,2,1.0879848628192998,3,2,6,16,0,1.5948101094742533,1.121773212596297,7.74740683177349,0,3,50,12,9,6,12,5,4,20,1,16,7,16,2,11,2,10,2,7,9,1.6285984592512501,0.3750506825246655,0.25003378834977696,1.1352885525070955,0.30071631301527235,0.25679145830517636,0.5744019462089471,1.4596073926411461,2,28,38,10,0.9697256385998108,0.6149479659413435,0.2973374780375726,0.9258007838897149,0.44938505203405865,3.6591546440517617,0.9021489390458169,73,6,1,17,5,10,3,36,6,40,6,1,29598,0.696040005406136,0.3716718475469658,1.8651169076902285,2.9497229355318284,36,UNKNOWN_KEY_FORMAT
PQ172692.1,2.9967076530269434,1.9418128065578177,2.5633272861654235,2,1.2363098837599946,0.5442451118726063,34,2.019082174292817,2,1.0918497614728213,3,2,6,18,0,1.5823422697036886,1.135523751931734,7.753552591796284,0,3,50,11,9,6,12,5,4,18,1,16,6,16,2,11,2,10,2,7,9,1.6226567224349928,0.38298730094738964,0.2586844050258684,1.128804676476517,0.3124370086676073,0.25196532957065104,0.5744809514210845,1.4647092417778076,2,26,38,9,0.991063629644561,0.6315930927904321,0.28892024457434656,0.9507491769132567,0.4434589800443459,3.6584136795780564,0.9070751864543438,73,7,1,18,5,9,3,36,6,40,6,2,29768,0.6887052341597797,0.3729086877645636,1.8712625142780355,2.9563932002956395,36,UNKNOWN_KEY_FORMAT
PQ094800.1,2.993303118446865,1.9481837245484679,2.5502266116485153,2,1.2548197253602111,0.551308935939931,33,2.0327403098153285,2,1.0755597645944666,3,4,6,16,0,1.58289927619563,1.1229114523439085,7.744073585607521,0,3,50,13,9,6,12,6,3,20,0,16,7,16,2,11,2,10,2,7,9,1.6201041737130488,0.375431238584861,0.25028749238990733,1.149969559629304,0.3145504971927214,0.25366975580058176,0.574984779814652,1.4676541205911198,2,26,38,9,0.9740918622742339,0.6155719407427451,0.2942569167286748,0.9199756477034431,0.43969424338767504,3.6319366947347063,0.9064465940607453,73,6,0,18,6,9,3,34,6,40,6,1,29580,0.6933639991882568,0.37204897517418656,1.8636271392816075,2.9527159575187714,34,UNKNOWN_KEY_FORMAT
OK250158.1,3.0021155848080863,1.9376070385170758,2.562208267571107,2,1.2391282447362235,0.5507236643272104,34,2.014842674367843,1,1.0980892575304746,2,2,6,16,0,1.5917257127505962,1.1484603243896707,7.756883814640698,0,2,50,12,9,6,12,5,3,18,1,16,6,16,1,10,2,10,1,7,10,1.6420967796097923,0.3794620370059438,0.248497263172034,1.135028039893885,0.3190167567749085,0.2585714765438732,0.5675140199469425,1.470785762256548,1,27,38,9,0.993989052688136,0.6279593001779777,0.2921521877833373,0.9402599147049934,0.4533396017327647,3.663532572196105,0.8898888478457974,74,6,1,18,5,9,3,36,6,41,6,1,29781,0.6884045804090131,0.3794620370059438,1.8536552604184156,2.9551025890728364,36,UNKNOWN_KEY_FORMAT
OX014429.1,2.9904909109236923,1.9454991431739523,2.546957427505796,2,1.2499579987231613,0.5544168542723699,33,2.0227814925573737,1,1.0920331978092133,3,2,6,16,0,1.5758879069923726,1.149154934310003,7.741415227471273,2,3,51,12,9,6,13,4,3,18,1,15,6,16,1,9,2,10,2,7,9,1.629649541346057,0.3729713383286852,0.24192735459157957,1.149154934310003,0.3124894996807903,0.25536776318000065,0.567857262860791,1.464955312143001,1,27,38,9,0.9945902355431605,0.6283391015086859,0.29568898894526396,0.937468499042371,0.4468935855650012,3.655668301861434,0.8937871711300024,73,7,1,18,4,9,3,35,6,40,7,1,29884,0.6955411444507913,0.3729713383286852,1.861496589496321,2.9468095830113237,35,UNKNOWN_KEY_FORMAT
OU054964.1,2.9959268859191437,1.9456693708553539,2.558319587975898,2,1.2488639041303395,0.53859359746861,33,2.0230922004914667,1,1.0872858248897566,3,2,7,16,0,1.5854849025482212,1.137778974652439,7.74875454423051,0,3,52,11,9,6,12,5,3,20,1,16,7,16,1,10,3,10,2,8,9,1.6258794223583666,0.3837479381963847,0.252465748813411,1.1478776046049752,0.3096913185444508,0.252465748813411,0.5655232773420407,1.454153763296082,1,27,38,9,0.9862995253643922,0.629481267041438,0.29622647860773554,0.9425387955700677,0.4611707678324974,3.6724114716574663,0.8954118557915643,73,6,1,18,5,9,4,35,7,40,6,1,29830,0.7001716767091931,0.3669168882754906,1.8716127512034202,2.938701316188104,35,UNKNOWN_KEY_FORMAT
OZ061920.1,2.9911373707533233,1.9437357325097353,2.564791191083658,2,1.2454679736806769,0.5539143279172821,34,2.0276621458305355,1,1.0910433731704041,3,2,6,14,0,1.5878877400295421,1.1413992211628845,7.75118332270301,0,3,50,13,9,6,12,5,3,20,1,15,7,16,1,10,2,10,2,6,9,1.6181012488250304,0.3759903316771855,0.24842218342956893,1.1380421646300523,0.32227742715187324,0.255136296495233,0.5740566671142742,1.4770552888650172,1,27,40,9,0.9936887337182757,0.6277695716395865,0.29542097488921715,0.9366187726601315,0.43977440580099364,3.6355701769109405,0.8996911507989794,71,6,1,18,5,9,4,36,6,39,6,1,29790,0.7016248153618907,0.37934738821001746,1.849738149590439,2.954209748892171,36,UNKNOWN_KEY_FORMAT
